Date,Location,Province,TotalKilledMin,TotalKilledMax,MilitantsKilledMin,MilitantsKilledMax,CiviliansKilledMin,CiviliansKilledMax,UnknownKilledMin,UnknownKilledMax,Target,LeadersKilled,Description,NumLeadersKilled,SourceConfirmed
2012-05-10,Zinjibar,Abyan,2,4,2,4,NA,NA,NA,NA,Ansar al-Sharia,Kheldoon Al Sayed,"The second man in Abyan after the Emir Al Khadir Hussein Al Jadani, according to the Yemen Observer",1.0,NAF
2012-05-10,Zinjibar,Abyan,2,4,2,4,NA,NA,NA,NA,Ansar al-Sharia,Jallad,Militant in charge of armaments for AQAP,1.0,NAF
2012-05-12,Unknown,Shabwah,6,7,6,7,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-05-12,Unknown,Marib,4,10,4,10,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-05-15,Jaar,Abyan,11,33,6,25,NA,NA,5,8,AQAP,NA,NA,0.0,NAF
2012-05-17,Seiyoun,Hadramawt,3,3,2,2,1,1,NA,NA,AQAP,NA,NA,0.0,NAF
2012-05-19,Unknown,Al Bayda,2,2,2,2,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-05-28,Al Mukalla,Hadramawt,6,7,6,7,NA,NA,NA,NA,AQAP,Qaid al-Dahab,"Local al-Qaeda leader, brother-in-law to Anwar al-Awlaki",1.0,NAF
2012-05-28,Radaa,Al Bayda,5,5,5,5,NA,NA,NA,NA,AQAP,Qaid al-Dahab,"Local al-Qaeda leader, brother-in-law to Anwar al-Awlaki",1.0,NAF
2012-06-01,Al Mahfad,Abyan,11,12,11,12,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-06-13,Azzan,Shabwah,27,30,27,30,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-06-13,Azzan,Shabwah,9,9,9,9,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-06-25,Aden,Adan,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-07-03,Bayhan,Shabwah,2,5,2,5,NA,NA,NA,NA,AQAP,"Fahd Saleh al-Anjaf al-Harithi, Hassan Ali al-Ishaqi",Senior al-Qaeda figures,2.0,NAF
2012-08-04,Al Qatn,Hadramawt,3,5,3,5,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-08-06,Radaa,Al Bayda,7,7,7,7,NA,NA,NA,NA,AQAP,Abdullah Awad al-Masri,al-Qaeda bomb maker,1.0,NAF
2012-08-07,Zoukaika,Hadramawt,2,3,2,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-08-28,Unknown,Hadramawt,2,2,2,2,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-08-29,Al Qatn,Hadramawt,5,5,3,3,2,2,NA,NA,AQAP,NA,NA,0.0,NAF
2012-08-31,Hawra,Hadramawt,5,8,5,8,NA,NA,NA,NA,AQAP,Khaled Batis,A top al Qaeda militant wanted for his role in the 2002 attack on the Limburg oil tanker,1.0,NAF
2012-09-02,Radaa,Al Bayda,12,12,NA,NA,12,12,NA,NA,AQAP,NA,NA,0.0,NAF
2012-09-05,Al Ain,Hadramawt,5,6,5,6,NA,NA,NA,NA,AQAP,Murad Ben Salem,Senior al-Qaeda member,1.0,NAF
2012-09-10,Al Ain,Hadramawt,6,7,6,7,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-10-04,Al Saeed,Shabwah,4,5,4,5,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2012-10-18,Jaar,Abyan,7,9,7,9,NA,NA,NA,NA,AQAP,Nader al-Shaddadi,One of the top al-Qaeda leaders in the region,1.0,NAF
2012-10-21,NA,Marib,3,4,3,4,NA,NA,NA,NA,AQAP,"Sanad Abdulla al-Aqili, Abdullah Oraidan",Local al-Qaeda operatives,2.0,NAF
2012-10-28,Jbara,Sadah,6,6,4,4,NA,NA,2,2,AQAP,NA,NA,0.0,NAF
2012-11-07,Sayyan,Sana,1,3,1,3,NA,NA,NA,NA,AQAP,Adnan al Qadhi,Wanted for 2008 bombing of U.S. Embassy in Sanaa,1.0,NAF
2012-11-28,NA,Sadah,1,1,1,1,NA,NA,NA,NA,AQAP,Said Shihri,"AQAP's deputy leader and co founder one of the first inmates of the American prison at GuantÃ¡namo Bay, Cuba.",1.0,NAF
2012-12-24,Radaa,Al Bayda,2,2,2,2,NA,NA,NA,NA,AQAP,Abdel-Raouf Naseeb,Mid-level al-Qaeda operative,1.0,NAF
2012-12-24,Shehr,Hadramaut,3,5,3,5,NA,NA,NA,NA,AQAP,Abdel-Raouf Naseeb,Mid-level al-Qaeda operative,1.0,NAF
2012-12-28,Shehr,Hadramawt,2,2,2,2,NA,NA,NA,NA,AQAP,Abdullah Bawazir,Chief architect behind a 2011 mass prison break that freed dozens of fighters,1.0,NAF
2012-12-29,Radaa,Al Bayda,3,3,3,3,NA,NA,NA,NA,AQAP,Saleh Mohammed al Ameri,A prominent local fighter,1.0,NAF
2013-01-03,Radaa,Al Bayda,3,3,3,3,NA,NA,NA,NA,AQAP,Moqbel Ebad Al Zawbah,Senior al-Qaeda figure,1.0,NAF
2013-01-19,Wadi Abida,Marib,4,6,4,6,NA,NA,NA,NA,AQAP,Ismaeel Bin Saeed Bin Jameel,Local al-Qaeda operative,1.0,NAF
2013-01-21,Al Ateef,Marib,2,4,2,4,NA,NA,NA,NA,AQAP,"Ahmed al-Ziadi, Qasem Naser Tuaiman, Ali Saleh Tuaiman",Ziadi was a suspected AQAP leader in Marib; the Tuaimans were militants freed by Yemeni authorities in April 2012 after several months in prison,3.0,NAF
2013-01-22,Bokaa,Al Jawf,3,4,3,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2013-01-23,Khawlan,Sana,4,9,2,7,2,2,NA,NA,AQAP,NA,NA,0.0,NAF
2013-01-23,Radaa,Al Bayda,7,7,5,5,NA,NA,2,2,AQAP,NA,NA,0.0,NAF
2013-04-17,Wessab,Dhamar,4,5,2,3,NA,NA,2,2,AQAP,Hamid al Radmi,Alleged Local AQAP leader,1.0,NAF
2013-05-18,Al Mahfad,Abyan,4,4,4,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2013-05-20,Unknown,Al Bayda,2,2,2,2,NA,NA,NA,NA,AQAP,"Abd Rabbo Mokbal Mohammed Jarallah al-Zouba, Abbad Mossad Abbad Khobzi",Local al-Qaeda operatives,2.0,NAF
2013-06-01,Al Mahfad,Abyan,7,8,7,8,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2013-06-09,Mahashama,Al Jawf,4,8,3,7,1,1,NA,NA,AQAP,Saleh Hassan Huraydan,Senior al-Qaeda leader,1.0,NAF
2013-07-27,Al Mahfad,Abyan,4,4,4,4,NA,NA,NA,NA,Ansar al-Sharia,NA,NA,0.0,NAF
2013-07-30,Saeed,Shabwah,3,3,3,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2013-08-01,Wadi Ser,Hadramawt,4,4,3,3,1,1,NA,NA,AQAP,NA,NA,0.0,NAF
2013-08-06,Wadi Abida,Marib,4,4,4,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2013-08-07,Markha,Shabwah,6,7,6,7,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2013-08-08,Wadi Abida,Marib,8,8,6,6,2,2,NA,NA,AQAP,NA,NA,0.0,NAF
2013-08-08,Al Ain,Hadramawt,2,3,2,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2013-08-08,Al Qatn,Hadramawt,3,4,3,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2013-08-10,el-Askariya,Lahij,2,3,2,3,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2013-08-30,Radaa,Al Bayda,3,6,3,6,NA,NA,NA,NA,AQAP,Qaid Ahmad Nasser Al Dhahab,Local senior al-Qaeda leader,1.0,NAF
2013-11-19,Ghayl Ba Wazir,Hadramawt,3,4,3,4,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
2013-11-25,Al Mahfad,Abyan,12,12,12,12,NA,NA,NA,NA,AQAP,NA,NA,0.0,NAF
