Date,Village.local.area,District,Province,AttackType,DroneStrike,ConfirmedUSAttack,US.only.source.,Counter..terrorism..force.protection.or.strategic.effects.,Reported.target.group.,Time,Reported.target.type,StrikesMin,StrikesMax,TotalKilledMin,TotalKilledMax,CiviliansKilledMin,CiviliansKilledMax,ChildrenKilledMin,ChildrenKilledMax,TotalInjuredMin,TotalInjuredMax
2016-12-24,Bandar,Achin,Nangarhar,US strike,1,0,0,NA,"""Foreign rebels""",NA,NA,1,1,2,2,0,0,0,0,0,0
2016-12-27,Langar Kandaw,Achin,Nangarhar,US strike ,1,0,0,NA,ISIS,NA,NA,1,1,3,3,0,0,0,0,0,0
2016-12-28,Papin,Haska Mena,Nangarhar,US strike ,1,0,0,NA,ISIS,Early morning,NA,1,1,2,2,0,0,0,0,1,1
2016-12-28,Gandi-Bagh,Charparhar,Nangarhar ,US strike ,1,0,0,NA,Taliban,Night,NA,1,1,3,3,0,0,0,0,7,7
2016-12-31,NA,NA,NA,US strike,0,1,1,NA,NA,NA,NA,454,449,0,0,0,0,0,0,0,0
2017-01-10,Aziz Kala,Sabri,Khost,US strike,1,0,0,NA,Haqqani,Evening,Car,1,1,4,4,0,0,0,0,0,0
2017-01-15,Unknown,Musa Qala,Helmand,US strike ,0,0,0,NA,Taliban ,NA,NA,1,1,15,15,0,0,0,0,10,10
2017-01-20,Bandr Khor ,Achin,Nangarhar ,US strike ,1,0,0,NA,ISIS,NA,NA,1,1,4,6,0,0,0,0,0,0
2017-01-27,Bandar ,Achin,Nangarhar ,US strike ,1,0,0,NA,NA,Night,Fighters' positions ,1,1,7,7,0,0,0,0,0,0
2017-01-28,Unknown,NA,Nangarhar,US strike,1,0,0,NA,ISIS,NA,Hideout,1,1,7,7,0,0,0,0,0,0
2017-01-31,Unknown,Sangin ,Helmand,US strike,0,1,1,NA,Taliban,NA,Taliban fighting positions,10,10,0,0,0,0,0,0,0,0
2017-01-31,NA,NA,NA,US strike,0,1,1,NA,NA,NA,NA,21,21,0,0,0,0,0,0,0,0
2017-02-01,Unknown,Achin,Nangarhar,US strike,1,0,0,NA,NA,Morning,NA,1,2,2,12,0,0,0,0,0,0
2017-02-02,Unknown,NA,Khost ,US strike ,1,0,0,NA,NA,NA,Vehicle,1,1,5,6,0,0,0,0,0,0
2017-02-03,Unknown,Achin and Haska Mina ,Nangarhar ,US strike ,1,0,0,NA,NA,NA,NA,2,2,21,21,0,0,0,0,6,6
2017-02-06,Kharko area,Garamser ,Helmand,US strike ,0,0,0,NA,NA,NA,NA,1,1,6,6,0,0,0,0,0,0
2017-02-06,Char Wazi area,Haska Mena,Nangarhar,US strike ,1,0,0,NA,NA,Night,NA,1,1,2,2,0,0,0,0,3,3
2017-02-08,Pekhar Khor area and Nari Oba area,Achin and Haska Mena ,Nangarhar,US strike ,1,1,0,CT,ISIS,NA,NA,2,2,11,11,0,0,0,0,6,6
2017-02-10,Unknown,Sangin,Helmand,US strike ,0,1,0,NA,NA,NA,NA,2,2,18,68,18,18,0,8,0,19
2017-02-11,Unknown,Sangin,Helmand,US strike ,0,1,1,NA,NA,Past week,NA,28,28,NA,NA,NA,NA,NA,NA,NA,NA
2017-02-19,Unknown,Nawa,Ghazni,US strike ,1,0,0,NA,Taliban,NA,Hideout ,1,1,1,1,0,0,0,0,2,2
2017-02-20,Bandar,Achin,Nangarhar ,US strike ,1,0,0,NA,NA,NA,Vehicle ,1,1,12,12,0,0,0,0,0,0
2017-02-23,Umomi Bagh,Garamser,Helmand,US strike ,0,0,0,NA,Taliban,NA,Gathering,1,1,11,11,0,0,0,0,0,0
2017-02-26,Unknown,Dashti Archi,Kunduz,US strike ,1,1,0,NA,Taliban,3.20pm local time ,NA,1,1,5,9,0,0,0,0,0,0
2017-02-27,Sangini ,Charparhar,Nangarhar,US strike ,1,0,0,NA,Taliban ,Late night,NA,1,1,2,2,0,0,0,0,3,3
2017-02-28,Unknown,Unknown ,Unknown ,US strike ,0,1,1,NA,NA,NA,NA,118,117,0,0,0,0,0,0,0,0
2017-03-01,Chaknoro,Lal Pura,Nangarhar,US strike,1,0,0,NA,NA,NA,NA,1,1,6,6,0,0,0,0,1,1
2017-03-09,Lam,Between Nish and Khakriz districts,Kandahar,US strike,0,0,0,NA,NA,NA,NA,1,1,20,20,0,0,0,0,0,0
2017-03-13,Raasni,Gilan,Ghazni,US strike,1,0,0,NA,NA,NA,Vehicles ,1,1,3,3,0,0,0,0,0,0
2017-03-18,Unknown ,Unknown,Nangarhar ,US strike,0,1,1,NA,NA,NA,NA,12,12,0,0,0,0,0,0,0,0
2017-03-18,Unknown ,Unknown,Paktika ,US strike,1,1,0,NA,NA,NA,NA,2,2,2,2,0,0,0,0,0,0
2017-03-19,Unknown ,Unknown,Nangarhar ,US strike,0,1,1,NA,NA,NA,NA,20,20,0,0,0,0,0,0,0,0
2017-03-19,Unknown ,Unknown,Paktika ,US strike,1,1,0,CT,NA,NA,NA,1,1,4,4,0,0,0,0,0,0
