attack_id,location_names,campaign_name,verified_attack_type,attack_date,number_killed,number_wounded
123185204,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2013-04-20,4,4
-928886198,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-04-21,4,7
1301476782,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2013-04-23,6,37
-283164308,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2013-04-29,1,12
1112475234,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2013-04-29,10,60
-1170566735,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2013-05-01,0,3
-643611139,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-05-02,4,12
-1679004520,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2013-05-04,2,30
-724509449,Somalia,"Somali Rebels vs. Ethiopia & Allies","Confirmed Suicide",2013-05-05,11,10
227246374,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2013-05-07,12,40
-563570936,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2013-05-08,3,23
1483188206,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2013-05-08,1,4
1462822386,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-05-10,2,4
-737776241,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2013-05-11,2,5
897904509,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2013-05-12,6,68
-1244290645,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-05-13,3,0
1928511937,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-05-14,1,3
1390239471,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-05-16,15,35
-1662562050,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-05-20,20,11
-1394019016,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-05-22,7,28
-774469485,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-05-24,4,17
-153233888,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2013-05-24,3,3
-2075202971,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-05-27,5,4
-1413116537,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-05-29,1,1
403231586,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-05-29,3,4
-1337748259,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2013-06-03,0,2
1773681536,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-06-03,11,25
210161129,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-06-06,7,9
1675348787,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2013-06-06,1,0
-569933231,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-06-10,0,2
1633849838,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-06-10,0,18
98543492,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2013-06-11,17,39
