Date,Location,Total Killed,Militants Killed,Civilians Killed,Unknown Killed,Target Organization
"Thursday, May 17, 2012",Seiyoun in Hadramawt,Between 3 and 3 total killed.,Between 2 and 2 militants killed.,Between 1 and 1 civilians killed.,,AQAP
"Tuesday, May 15, 2012",Jaar in Abyan,Between 11 and 33 total killed.,Between 6 and 25 militants killed.,,Between 5 and 8 unknown killed.,AQAP
"Saturday, May 12, 2012",Unknown in Shabwah,Between 6 and 7 total killed.,Between 6 and 7 militants killed.,,,AQAP
"Saturday, May 12, 2012",Unknown in Ma'rib,Between 4 and 10 total killed.,Between 4 and 10 militants killed.,,,AQAP
"Thursday, May 10, 2012",Jaar in Abyan,Between 8 and 8 total killed.,Between 8 and 8 militants killed.,,,AQAP
"Thursday, May 10, 2012",Zinjibar in Abyan,Between 2 and 4 total killed.,Between 2 and 4 militants killed.,,,Ansar al-Sharia
"Sunday, May 6, 2012",Rafd in Shabwah,Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,Ansar al-Sharia
"Wednesday, May 2, 2012",Jaar in Abyan,Between 13 and 15 total killed.,Between 13 and 15 militants killed.,,,AQAP
"Wednesday, January 23, 2013",Khawlan in San'a',Between 4 and 9 total killed.,Between 2 and 7 militants killed.,Between 2 and 2 civilians killed.,,AQAP
"Tuesday, January 22, 2013",Boka'a in Al Jawf,Between 3 and 4 total killed.,Between 3 and 4 militants killed.,,,AQAP
"Monday, January 21, 2013",Al Ateef in Ma'rib,Between 2 and 4 total killed.,Between 2 and 4 militants killed.,,,AQAP
"Saturday, January 19, 2013",Wadi Abida in Ma'rib,Between 4 and 6 total killed.,Between 4 and 6 militants killed.,,,AQAP
"Thursday, January 3, 2013",Rada'a in Al Bayda',Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,AQAP
"Saturday, December 29, 2012",Rada'a in Al Bayda',Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,AQAP
"Friday, December 28, 2012",Shehr in Hadramawt,Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,AQAP
"Monday, December 24, 2012",Rada'a in Al Bayda',Between 2 and 2 total killed.,Between 2 and 2 militants killed.,,,AQAP
"Monday, December 24, 2012",Shehr in Hadramaut,Between 3 and 5 total killed.,Between 3 and 5 militants killed.,,,AQAP
"Wednesday, November 28, 2012",in Sa'dah,Between 1 and 1 total killed.,Between 1 and 1 militants killed.,,,AQAP
"Wednesday, November 7, 2012",Sayyan in San'a',Between 1 and 3 total killed.,Between 1 and 3 militants killed.,,,AQAP
"Sunday, October 28, 2012",Jbara in Sa'dah,Between 6 and 6 total killed.,Between 4 and 4 militants killed.,,Between 2 and 2 unknown killed.,AQAP
"Sunday, October 21, 2012",in Ma'rib,Between 3 and 4 total killed.,Between 3 and 4 militants killed.,,,AQAP
"Thursday, October 18, 2012",Jaar in Abyan,Between 7 and 9 total killed.,Between 7 and 9 militants killed.,,,AQAP
"Thursday, October 4, 2012",Al Saeed in Shabwah,Between 4 and 5 total killed.,Between 4 and 5 militants killed.,,,AQAP
"Monday, September 10, 2012",Al Ain in Hadramawt,Between 6 and 7 total killed.,Between 6 and 7 militants killed.,,,AQAP
"Wednesday, September 5, 2012",Al Ain in Hadramawt,Between 5 and 6 total killed.,Between 5 and 6 militants killed.,,,AQAP
"Sunday, September 2, 2012",Rada'a in Al Bayda',Between 12 and 12 total killed.,,Between 12 and 12 civilians killed.,,AQAP
"Friday, August 31, 2012",Hawra in Hadramawt,Between 5 and 8 total killed.,Between 5 and 8 militants killed.,,,AQAP
"Wednesday, August 29, 2012",Al Qatn in Hadramawt,Between 5 and 5 total killed.,Between 3 and 3 militants killed.,Between 2 and 2 civilians killed.,,AQAP
"Thursday, December 12, 2013",Rada'a in Al Bayda',Between 11 and 15 total killed.,,Between 11 and 15 civilians killed.,,AQAP
"Monday, December 9, 2013",Al Qatn in Hadramawt,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,AQAP
"Monday, November 25, 2013",Al Mahfad in Abyan,Between 12 and 12 total killed.,Between 12 and 12 militants killed.,,,AQAP
"Tuesday, November 19, 2013",Ghayl Ba Wazir in Hadramawt,Between 3 and 4 total killed.,Between 3 and 4 militants killed.,,,AQAP
"Friday, August 30, 2013",Rada'a in Al Bayda',Between 3 and 6 total killed.,Between 3 and 6 militants killed.,,,AQAP
"Saturday, August 10, 2013",el-Askariya in Lahij,Between 2 and 3 total killed.,Between 2 and 3 militants killed.,,,AQAP
"Thursday, August 8, 2013",Wadi Abida in Ma'rib,Between 8 and 8 total killed.,Between 6 and 6 militants killed.,Between 2 and 2 civilians killed.,,AQAP
"Thursday, August 8, 2013",Al Ain in Hadramawt,Between 2 and 3 total killed.,Between 2 and 3 militants killed.,,,AQAP
"Thursday, August 8, 2013",Al Qatn in Hadramawt,Between 3 and 4 total killed.,Between 3 and 4 militants killed.,,,AQAP
"Wednesday, August 7, 2013",Markha in Shabwah,Between 6 and 7 total killed.,Between 6 and 7 militants killed.,,,AQAP
"Tuesday, August 6, 2013",Wadi Abida in Ma'rib,Between 4 and 4 total killed.,Between 4 and 4 militants killed.,,,AQAP
"Thursday, August 1, 2013",Wadi Ser in Hadramawt,Between 4 and 4 total killed.,Between 3 and 3 militants killed.,Between 1 and 1 civilians killed.,,AQAP
"Tuesday, July 30, 2013",Saeed in Shabwah,Between 3 and 3 total killed.,Between 3 and 3 militants killed.,,,AQAP
"Saturday, July 27, 2013",Al Mahfad in Abyan,Between 4 and 4 total killed.,Between 4 and 4 militants killed.,,,Ansar al-Sharia
