Strike ID,Date,Location,"Confirmed/
possible US strike",Drone strike,Strike type,Minimum strikes,Maximum strikes,Minimum people killed,Maximum people killed,Minimum civilians killed,Maximum civilians killed,Minimum children killed,Maximum children killed,Minimum people injured,Maximum people injured,Strike link,,Index
SOM019,1/26/2014,"Hawai, Lower Shabelle",Confirmed,1,Air operation - drone strike,1,1,2,9,0,2,0,2,0,1,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM019,,19
SOM020,8/1/2014,"Barawe, Lower Shabelle",Confirmed,1,Air operation - drone strike,1,1,6,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM020,,20
SOM021,12/29/2014,Saakow,Confirmed,1,Air operation - drone strike,1,1,2,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM021,,21
SOM022,1/31/2015,"Dugule, Lower Shabelle",Possible,1,Air operation - drone strike,1,1,40,60,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM022,,22
SOM023,1/31/2015,"Dinsoor, Bay Region",Confirmed,1,Air operation - drone strike,1,1,2,9,0,4,0,0,0,4,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM023,,23
SOM024,3/12/2015,"Abaq Xaluul village, Baardheere, Gedo region",Confirmed,1,Air operation - drone strike,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM024,,24
SOM025,7/15/2015,"Baardheere, Gedo Region",Confirmed,1,Air operation - drone strike,1,1,2,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM025,,25
SOM026,7/15/2015,"Baardheere, Gedo Region",Confirmed,1,Air operation - drone strike,5,5,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM026,,26
SOM027,11/21/2015,"Balad Amin, Lower Shabelle",Confirmed,1,Air operation - drone strike,1,1,5,10,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM027,,27
SOM028,11/29/2015,"Yasooman, Ceeldheer and Ceel Lahelay villages, Hiraan region",Possible,0,Air operation - airstrike,1,1,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM028,,29
SOM029,12/2/2015,"Kunyo-Barow, Lower Shabelle",Confirmed,1,Air operation - drone strike,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM029,,28
SOM030,12/21/2015,"Kuntuwarey district, Lower Shabelle",Confirmed,1,Air operation - drone strike,1,1,5,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM030,,30
SOM031,3/5/2016,"Raso Camp, Hiraaan",Confirmed,1,Air operation - drone or airstrike,1,1,150,200,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM031,,31
SOM032,3/8/2016,"Awdhegle, Lower Shabelle",Confirmed,0,Ground operation - Joint US-Somali helicopter assault,1,1,19,19,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM032,,32
SOM033,3/31/2016,"Jillib, Middle Juba",Confirmed,1,Air operation - drone strike,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM033,,33
SOM034,4/1/2016,Unknown,Confirmed,1,Air operation - drone strike,1,1,0,22,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/#SOM034,,34
