Date,Location,Province,AttackType,ConfirmedUSAttack,DroneStrike,StrikesMin,StrikesMax,TotalKilledMin,TotalKilledMax,CiviliansKilledMin,CiviliansKilledMax,ChildrenKilledMin,ChildrenKilledMax,TotalInjuredMin,TotalInjuredMax,SourceConfirmed
2012-04-08,Unknown,Abyan,"Airstrike - joint Yemeni and US
Possible drone strike",Possible,1,2,2,16,16,0,0,0,0,0,0,TBIJ (All)
2012-04-11,Lawder,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,10,14,0,0,0,0,10,10,TBIJ (All)
2012-04-14,Al Zahir,Bayda,Drone strike,Confirmed,1,1,1,3,7,0,0,0,0,0,0,TBIJ (All)
2012-04-16,Azzan,Shabwa,Drone strike,Confirmed,1,1,5,5,7,0,0,0,0,0,0,TBIJ (All)
2012-04-18,Lawder and Jaar,Abyan,"Airstrike
Possible drone strike",Possible,1,1,3,6,10,0,0,0,0,0,0,TBIJ (All)
2012-04-21,Lawder,Abyan,"Airstrike
Possible drone strike",Possible,1,2,2,12,17,0,0,0,0,0,5,TBIJ (All)
2012-04-22,Sanda,Marib,Drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2012-04-23,Nasab,Shabwa,"Airstrike
Possible drone strike",Confirmed,1,1,1,3,3,0,0,0,0,2,2,TBIJ (All)
2012-04-23,Lawder,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,0,4,0,0,0,0,0,0,TBIJ (All)
2012-04-26,Moudia,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2012-04-29,Unknown,Jawf,"Airstrike
Possible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2012-04-30,Lawder,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2012-04-30,Jaar,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2012-05-02,Zinjibar,Abyan,"Airstrike
Possible drone strike",Possible,1,1,1,10,15,0,0,0,0,0,0,TBIJ (All)
2012-05-06,Wadi Rafad,Shabwa,Drone strike,Confirmed,1,1,1,2,4,1,1,0,0,0,0,TBIJ (All)
2012-05-10,Jaar,Abyan,"Airstrike
Possible naval bombardment
Possible drone strike",Possible,1,2,2,5,12,0,0,0,0,0,0,TBIJ (All)
2012-05-10,Shaqra,Abyan,"Airstrike
Possible naval bombardment
Possible drone strike",Possible,1,1,1,2,4,0,0,0,0,0,0,TBIJ (All)
2012-05-12,Al Hosoon,Marib,Drone strike,Confirmed,1,1,1,6,7,0,0,0,0,0,0,TBIJ (All)
