Date,Location,Province,AttackType,ConfirmedUSAttack,DroneStrike,StrikesMin,StrikesMax,TotalKilledMin,TotalKilledMax,CiviliansKilledMin,CiviliansKilledMax,ChildrenKilledMin,ChildrenKilledMax,TotalInjuredMin,TotalInjuredMax,SourceConfirmed
2015-09-12,Mukalla,Hadramout,"US drone strike
",Confirmed,1,1,1,4,5,0,0,0,0,0,0,TBIJ (All)
2015-09-21,Marib city,Marib,"Airstrike, Possible US drone strike",Possible,1,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2015-12-22,Nata district,Bayda-Shabwa border,"US drone strike
",Confirmed,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2016-01-15,Rafadh,Shabwa,"US drone strike
",Confirmed,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2016-01-19,Sayoun,Hadramout,"US drone strike
",Confirmed,1,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2016-02-03,Rawda city,Shabwa,"US drone strike
",Confirmed,1,1,1,6,6,0,0,0,0,0,0,TBIJ (All)
2016-02-03,Maraquesha,Abyan,"US drone strike
",Confirmed,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2016-02-15,Huta,Lahij,"Airstrike, Possible US drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2016-02-29,Unknown,Hadramout,"US drone or air strike
",Confirmed,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2016-03-04,Radhum,Shabwa,"US drone strike
",Confirmed,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2016-03-22,Hajr (75km W of Mukalla),Hadramout,US air strike,Confirmed,0,1,1,50,71,0,0,0,0,28,30,TBIJ (All)
2016-03-26,Al Hudhn and Naqeel al Hayala villages,Abyan,"Airstrike, Possible US drone strike",Possible,1,2,2,8,8,0,0,0,0,0,0,TBIJ (All)
2016-03-26,Zinjibar,Abyan,"Airstrike, Possible US drone strike",Possible,1,1,1,6,6,0,0,0,0,0,0,TBIJ (All)
2016-03-28,Mukalla,Hadramout,Airstrike,Possible,0,1,1,5,5,3,3,0,0,0,0,TBIJ (All)
2016-03-30,Azzan,Shabwa,US drone strike,Confirmed,1,1,1,2,5,0,0,0,0,0,0,TBIJ (All)
2016-03-30,Mukalla,Hadramout,Airstrike,Possible,0,3,3,0,0,0,0,0,0,0,0,TBIJ (All)
2016-04-03,Mukalla,Hadramout,"Airstrike, Possible US drone strike",Possible,1,4,5,0,0,0,0,0,0,0,0,TBIJ (All)
2016-04-05,Zinjibar,Abyan,Airstrike,Possible,0,2,2,0,0,0,0,0,0,0,0,TBIJ (All)
2016-04-23,Alemien,Mareb,US drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2016-04-25,Zinjibar,Abyan,US drone strike,Confirmed,1,1,1,3,6,0,0,0,0,0,0,TBIJ (All)
2016-04-25,Azzan,Shabwa,US drone strike,Confirmed,1,1,1,2,10,0,0,0,0,0,0,TBIJ (All)
2016-04-28,Unknown,Shabwa,US drone strike,Confirmed,1,1,1,4,4,0,0,0,0,1,1,TBIJ (All)
2016-05-19,Unknown,Shabwa,US drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2016-06-09,Unknown,Bayda,US drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2016-06-10,Unknown,Mareb,US drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2016-06-12,Haban,Shabwa,US drone strike,Confirmed,1,1,1,2,3,0,0,0,0,1,1,TBIJ (All)
2016-07-01,Gardan,Shabwa,US drone strike,Confirmed,1,1,1,3,6,0,0,0,0,0,0,TBIJ (All)
2016-07-04,Musaina,Shabwa,US drone strike,Confirmed,1,1,1,2,3,0,0,0,0,0,1,TBIJ (All)
2016-07-08,Unknown,Central Yemen,US drone strike,Confirmed,1,1,1,1,1,0,0,0,0,0,0,TBIJ (All)
2016-07-10,Jabul,Mareb,US drone strike,Possible,1,1,1,0,0,0,0,0,0,4,4,TBIJ (All)
2016-07-16,Al Uqlah,Shabwa,US drone strike,Confirmed,1,1,1,2,4,0,0,0,0,0,2,TBIJ (All)
2016-08-04,Azzan,Shabwa,US drone strike,Confirmed,1,1,1,2,4,0,0,0,0,2,4,TBIJ (All)
2016-08-24,Unknown,Shabwa,US drone strike,Confirmed,1,1,1,4,5,0,0,0,0,0,0,TBIJ (All)
2016-08-30,Unknown,Shabwa,US air or drone strike ,Confirmed,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2016-09-04,Unknown,Shabwa,US air or drone strike,Confirmed,1,1,1,6,9,0,0,0,0,0,0,TBIJ (All)
2016-09-13,Radaa area,Bayda ,US drone strike ,Confirmed,1,1,1,5,5,0,0,0,0,0,0,TBIJ (All)
2016-09-20,Wadi Abida,Marib,"US drone or air strike
",Confirmed,1,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2016-09-22,Sawmaa district,Bayda,US air or drone strike,Confirmed,1,1,1,2,3,0,0,0,0,0,0,TBIJ (All)
2016-09-23,Unknown,Mareb,US drone strike,Confirmed,1,1,1,3,5,0,0,0,0,0,0,TBIJ (All)
2016-09-29,Unknown,Bayda,US air or drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2016-10-06,Unknown,Shabwah,US air or drone strike,Confirmed,0,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2016-10-12,North of the Bab el-Mandeb strait,-,US cruise missle strike,Confirmed,0,3,3,0,0,0,0,0,0,0,0,TBIJ (All)
2016-10-18,Unknown,Shabwah,US air or drone strike,Confirmed,1,1,1,3,8,0,0,0,0,2,2,TBIJ (All)
2016-10-21,Unknown,Marib,US air or drone strike,Confirmed,0,1,1,5,5,0,0,0,0,0,0,TBIJ (All)
2016-11-21,Unknown,Bayda,US air or drone strike,Confirmed,1,1,1,1,1,0,0,0,0,0,0,TBIJ (All)
2016-11-24,Sawmaah,Bayda,US air or drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2016-11-30,Unknown,Hadramout,US air or drone strike,Confirmed,1,1,1,3,3,0,0,0,0,0,0,TBIJ (All)
2016-12-13,Unknown,Marib/Al Jawf,US air or drone strike,Possible,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
2016-12-29,Sawmaah,Bayda ,US air or drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2017-01-08,Unknown,Bayda,US air or drone strike,Confirmed,1,1,1,1,1,0,0,0,0,0,0,TBIJ (All)
2017-01-20,Sawmaah,Bayda,US air or drone strike,Confirmed,1,1,1,5,7,0,0,0,0,0,0,TBIJ (All)
2017-01-28,Yakla,Bayda,"US air and ground operation
Special forces air assault and air support, possibly drone",Confirmed,0,1,1,39,39,25,25,10,10,7,7,TBIJ (All)
2017-01-30,Baihan,Shabwa,US air or drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2017-03-02,Unknown,Across central Yemen ,US air or drone strikes,Confirmed,0,25,25,2,12,0,0,0,0,0,0,TBIJ (All)
2017-03-03,Unknown,Yemen,US air or drone strikes,Confirmed,0,5,10,1,8,0,0,0,0,0,0,TBIJ (All)
2017-03-04,Ahwar,Abyan ,US air or drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,TBIJ (All)
2017-03-06,Unknown,Multiple provinces,US air or drone strikes,Confirmed,0,9,4,11,11,2,2,2,2,0,0,TBIJ (All)
2017-03-29,Unknown,Abyan ,US air or drone strike,Possible,1,1,1,4,4,0,0,0,0,0,0,TBIJ (All)
