Date,Location,Province,TotalKilledMin,TotalKilledMax,CiviliansKilledMin,CiviliansKilledMax,SourceConfirmed
2013-11-25,Al Mahfad,Abyan,12,12,NA,NA,NAF
2013-12-09,Al Qatn,Hadramawt,3,3,NA,NA,NAF
2013-12-12,Radaa,Al Bayda,11,15,11,15,NAF
2014-01-15,Shibam,Hadramawt,1,1,1,1,NAF
2014-01-27,Wadi Obaida,Marib,3,3,NA,NA,NAF
2014-03-03,Mayfaa,Shabwah,2,2,NA,NA,NAF
2014-03-03,NA,Marib,2,2,NA,NA,NAF
2014-03-10,NA,Marib,1,1,NA,NA,NAF
2014-03-11,Wadi Abida,Sana,4,4,NA,NA,NAF
2014-04-01,Shabwa,Abyan,3,3,NA,NA,NAF
2014-04-19,Hazemiyah,Al Bayda,13,13,4,4,NAF
2014-04-20,NA,Abyan,25,65,NA,NA,NAF
2014-04-21,NA,Shabwah,3,3,NA,NA,NAF
2014-05-12,Abieda Valley,Marib,6,6,NA,NA,NAF
2014-08-09,Obeida Valley,Marib,3,3,NA,NA,NAF
2014-08-16,Ahwar town,Abyan,3,3,NA,NA,NAF
2014-09-11,NA,Shabwah,4,4,NA,NA,NAF
2014-10-25,near Rada,Al Bayda,3,10,NA,NA,NAF
2014-11-04,Radaa,Al Bayda,10,20,NA,NA,NAF
2014-11-25,Hagr al-Saiaar,Hadramawt,7,7,NA,NA,NAF
2014-12-06,NA,Shabwah,4,14,2,8,NAF
2014-12-06,Wadi Abdan,Shabwah,9,9,NA,NA,NAF
2015-01-26,Hareeb,Marib,3,3,NA,NA,NAF
2015-01-31,Al Saeed,Shabwah,4,4,NA,NA,NAF
2015-02-02,Maswara,Al Bayda,3,4,NA,NA,NAF
2015-02-28,Bayhan,Shabwah,3,4,NA,NA,NAF
2015-03-02,Markha,Shabwah,3,3,NA,NA,NAF
2015-04-13,Al Mukalla,Hadramawt,6,6,NA,NA,NAF
2015-04-16,Habban,Shabwah,2,2,NA,NA,NAF
2015-04-19,Saeed,Shabwah,3,3,NA,NA,NAF
2015-04-22,Al Mukalla,Hadramawt,7,7,NA,NA,NAF
2015-05-11,Al Mukalla,Hadramawt,4,4,NA,NA,NAF
2015-06-09,Al Mukalla,Hadramawt,3,3,NA,NA,NAF
2015-06-12,Al Mukalla,Hadramawt,3,3,NA,NA,NAF
2015-06-24,Al Mukalla,Hadramawt,4,4,NA,NA,NAF
2015-06-25,Rafadh,Shabwah,5,5,NA,NA,NAF
2015-07-11,Mukalla,Hadramawt,4,0,NA,NA,NAF
2015-07-29,al-Mahfad,Abyan,4,5,NA,NA,NAF
2015-08-11,Al Mukalla,Hadramawt,5,5,NA,NA,NAF
2015-08-20,Harib,Marib,3,3,NA,NA,NAF
2015-08-23,Mukalla,Hadramawt,4,4,NA,NA,NAF
2015-08-27,Al Mukalla,Hadramawt,5,5,NA,NA,NAF
2015-09-09,Mukalla,Hadramawt,3,4,NA,NA,NAF
