Date,Location,TotalKilledMin,TotalKilledMax,CiviliansKilledMin,CiviliansKilledMax,SourceConfirmed
2016-04-11,Lower Juba,8,12,3,3,"TBIJ (Confirmed, Possible)"
2016-05-12,"Afgoye, Lower Shabelle",5,5,0,0,"TBIJ (Confirmed, Possible)"
2016-05-27,South-central Somalia,1,1,0,0,"TBIJ (Confirmed, Possible)"
2016-06-21,Southern Somalia,3,3,0,0,"TBIJ (Confirmed, Possible)"
2016-08-30,Near Gobanale,2,2,0,0,"TBIJ (Confirmed, Possible)"
2016-09-05,Tortoroow,4,4,0,0,"TBIJ (Confirmed, Possible)"
2016-09-26,"Caba, near Kismayo",4,4,0,0,"TBIJ (Confirmed, Possible)"
2016-09-28,"Galcayo, Galmudug ",10,22,0,2,"TBIJ (Confirmed, Possible)"
2017-01-07,Gaduug,0,0,0,0,"TBIJ (Confirmed, Possible)"
2007-01-07,Ras Kamboni,8,10,2,2,TBIJ (Confirmed)
2007-01-09,"Hayo, Garer, Bankajirow and Badmadow, Ras Kamboni",5,10,0,0,TBIJ (Confirmed)
2007-01-23,Waldena,8,8,0,0,TBIJ (Confirmed)
2007-06-01,Bargal,8,12,0,0,TBIJ (Confirmed)
2008-03-03,Dhobley,0,6,0,4,TBIJ (Confirmed)
2008-05-01,Dusa Marreb,8,15,5,10,TBIJ (Confirmed)
2009-09-14,Barawe,2,6,0,0,TBIJ (Confirmed)
2011-06-23,Kismayo,2,2,0,0,TBIJ (Confirmed)
2012-01-21,Elasha Biyaha,1,1,0,0,TBIJ (Confirmed)
2012-02-24,Lower Shabelle,3,7,0,1,TBIJ (Confirmed)
2013-10-05,"Barawe, Shabeellaha Hoose",1,7,0,0,TBIJ (Confirmed)
2013-10-28,"Jillib, Middle Juba",2,3,0,0,TBIJ (Confirmed)
2014-01-26,"Hawai, Lower Shabelle",2,9,0,2,TBIJ (Confirmed)
2014-08-01,"Barawe, Lower Shabelle",6,6,0,0,TBIJ (Confirmed)
2014-12-29,Saakow,2,3,0,0,TBIJ (Confirmed)
2015-01-31,"Dinsoor, Bay Region",2,9,0,4,TBIJ (Confirmed)
2015-03-12,"Abaq Xaluul village, Baardheere, Gedo region",3,3,0,0,TBIJ (Confirmed)
2015-07-15,"Baardheere, Gedo Region",2,3,0,0,TBIJ (Confirmed)
2015-07-15,"Baardheere, Gedo Region",0,0,0,0,TBIJ (Confirmed)
2015-11-21,"Balad Amin, Lower Shabelle",5,10,0,0,TBIJ (Confirmed)
2015-12-02,"Kunyo-Barow, Lower Shabelle",3,3,0,0,TBIJ (Confirmed)
2015-12-21,"Kuntuwarey district, Lower Shabelle",5,5,0,0,TBIJ (Confirmed)
2016-03-05,"Raso Camp, Hiraaan",150,200,0,0,TBIJ (Confirmed)
2016-03-08,"Awdhegle, Lower Shabelle",19,19,0,0,TBIJ (Confirmed)
2016-03-31,"Jillib, Middle Juba",3,3,0,0,TBIJ (Confirmed)
2016-04-01,Unknown,0,22,0,0,TBIJ (Confirmed)
